state,city,crime_type,year,time_of_day,season,latitude,longitude,population_density,police_presence_index,street_lighting_index,repeat_offender_rate,crime_count
Rajasthan,Rajasthan_City_1,Harassment,2021,Afternoon,Winter,18.86166345,95.57071489,12064,0.677480126,0.556666202,0.048990217,174
Chhattisgarh,Chhattisgarh_City_1,Eve Teasing,2019,Night,Winter,17.67754972,72.14313772,8422,0.216467595,0.975927882,0.33465263,350
Andhra Pradesh,Andhra Pradesh_City_1,Domestic Violence,2020,Morning,Monsoon,25.90696378,85.73794165,6496,0.545556015,0.432983312,0.248622629,316
Gujarat,Gujarat_City_5,Rape,2020,Night,Monsoon,36.23891005,74.75036887,19218,0.694708807,0.505969593,0.393460045,323
Himachal Pradesh,Himachal Pradesh_City_1,Stalking,2022,Evening,Summer,27.72891862,81.06447831,10727,0.953761405,0.650630574,0.160312436,103
Chhattisgarh,Chhattisgarh_City_2,Cyber Crime,2019,Morning,Summer,14.69592094,74.98973851,15887,0.596141528,0.227510817,0.364634957,170
Bihar,Bihar_City_3,Cyber Crime,2023,Evening,Winter,27.21314625,77.03962121,11753,0.36635333,0.654160262,0.022212184,327
Telangana,Telangana_City_4,Eve Teasing,2019,Night,Winter,21.04286987,79.45935684,1095,0.678319983,0.937499388,0.044512076,350
Nagaland,Nagaland_City_3,Human Trafficking,2021,Afternoon,Monsoon,32.49148161,89.67228319,17362,0.862990007,0.485402661,0.119564459,152
Assam,Assam_City_1,Domestic Violence,2021,Morning,Winter,31.26371244,70.16196867,8106,0.538721185,0.515905215,0.124460388,166
West Bengal,West Bengal_City_1,Rape,2021,Night,Monsoon,31.64838143,88.49886297,14086,0.832140432,0.68476798,0.371257343,184
Uttarakhand,Uttarakhand_City_3,Stalking,2021,Evening,Winter,32.65111876,81.03406955,19588,0.25084668,0.448785857,0.136821496,236
Sikkim,Sikkim_City_3,Assault,2023,Afternoon,Monsoon,25.14763584,75.966932,9862,0.57777194,0.295675397,0.288165467,388
Telangana,Telangana_City_2,Stalking,2022,Night,Summer,24.27703873,90.35804822,306,0.542032815,0.220335301,0.052077657,260
Jammu and Kashmir,Jammu and Kashmir_City_5,Domestic Violence,2021,Morning,Winter,26.45590193,77.11632345,12483,0.756412869,0.311465164,0.245722778,241
Uttarakhand,Uttarakhand_City_1,Cyber Crime,2022,Evening,Winter,29.91098302,74.6351468,16298,0.431801162,0.32897703,0.372582084,173
Gujarat,Gujarat_City_5,Cyber Crime,2020,Night,Summer,16.57337689,71.05933354,14031,0.349256047,0.914047199,0.220343474,393
Delhi,Delhi_City_4,Stalking,2021,Afternoon,Winter,15.89183523,86.7830135,6876,0.854411813,0.888584467,0.012711331,178
Telangana,Telangana_City_5,Eve Teasing,2021,Night,Monsoon,22.06006917,88.08064495,13645,0.470092137,0.954327763,0.136049143,251
Madhya Pradesh,Madhya Pradesh_City_3,Domestic Violence,2020,Night,Winter,19.71124896,69.88187517,6685,0.969957836,0.401425837,0.203926917,258
Tripura,Tripura_City_1,Assault,2020,Afternoon,Monsoon,16.26037434,69.06972147,4837,0.528829611,0.226440586,0.144577787,264
Maharashtra,Maharashtra_City_5,Assault,2022,Night,Monsoon,23.39710292,80.98571177,5031,0.264682661,0.495723565,0.104442376,485
Manipur,Manipur_City_5,Kidnapping,2023,Morning,Monsoon,36.51927109,79.56590883,11874,0.272231816,0.868241996,0.135104225,389
Telangana,Telangana_City_1,Eve Teasing,2021,Evening,Winter,17.45280825,74.38699038,2086,0.847600837,0.47893279,0.047508855,203
Jharkhand,Jharkhand_City_4,Stalking,2022,Morning,Monsoon,23.01478917,92.29359307,1902,0.472853081,0.290778817,0.370630511,242
Delhi,Delhi_City_3,Eve Teasing,2020,Morning,Monsoon,27.13953733,91.69944381,9308,0.613308713,0.40866334,0.398538943,379
Jharkhand,Jharkhand_City_5,Human Trafficking,2020,Afternoon,Summer,24.19051015,93.59645395,7258,0.471223833,0.47936766,0.293122715,243
Tripura,Tripura_City_2,Eve Teasing,2023,Morning,Monsoon,32.83340446,79.73073569,12283,0.880742759,0.948507995,0.316282854,167
Karnataka,Karnataka_City_4,Harassment,2019,Evening,Summer,24.83991202,78.79620023,5692,0.730801415,0.204049267,0.07271514,302
Haryana,Haryana_City_1,Domestic Violence,2023,Morning,Winter,28.06496073,86.90687653,14092,0.340740202,0.214460291,0.202618549,281
Telangana,Telangana_City_4,Assault,2023,Afternoon,Winter,28.9072578,76.93376296,4655,0.607051261,0.709066095,0.107680109,239
Sikkim,Sikkim_City_4,Eve Teasing,2020,Evening,Monsoon,36.21730609,79.39983402,10777,0.92487903,0.547515492,0.146530579,196
West Bengal,West Bengal_City_5,Rape,2020,Afternoon,Monsoon,27.39879773,93.06085939,8096,0.599354704,0.657603359,0.309736066,124
Jharkhand,Jharkhand_City_4,Cyber Crime,2022,Night,Winter,35.27329895,95.66392873,3544,0.906795218,0.798175019,0.38169802,295
Haryana,Haryana_City_2,Assault,2021,Morning,Monsoon,35.94497934,92.73727421,290,0.444557615,0.352728825,0.114705194,280
Nagaland,Nagaland_City_2,Human Trafficking,2020,Morning,Winter,24.14723661,95.14848845,669,0.944013468,0.256332905,0.0914783,234
Tamil Nadu,Tamil Nadu_City_1,Domestic Violence,2019,Morning,Summer,12.06243644,83.03155992,1509,0.458040611,0.878935836,0.063282319,328
Assam,Assam_City_5,Domestic Violence,2021,Night,Winter,18.42524339,76.51416348,19290,0.535824685,0.404965555,0.248490347,232
Nagaland,Nagaland_City_2,Human Trafficking,2023,Night,Winter,13.63394465,70.05728659,8273,0.836634136,0.912004273,0.141818111,207
Uttar Pradesh,Uttar Pradesh_City_4,Rape,2020,Morning,Winter,10.72547626,84.77012409,953,0.462522134,0.324033293,0.392917946,276
Sikkim,Sikkim_City_4,Cyber Crime,2022,Night,Summer,25.13416456,68.88450725,10007,0.231067788,0.442612412,0.219462147,312
West Bengal,West Bengal_City_1,Assault,2019,Night,Monsoon,32.00820111,75.87474456,16079,0.698312381,0.268277972,0.030155871,260
Karnataka,Karnataka_City_1,Domestic Violence,2020,Afternoon,Monsoon,12.01223968,71.84961725,4565,0.613040279,0.458365178,0.320122616,412
Manipur,Manipur_City_2,Rape,2020,Evening,Summer,29.57723665,75.27495529,8408,0.264698373,0.54265158,0.278514961,257
Haryana,Haryana_City_1,Dowry Death,2023,Morning,Winter,13.02553528,72.53667424,13507,0.639381332,0.771676738,0.267476977,345
Rajasthan,Rajasthan_City_5,Harassment,2019,Afternoon,Winter,22.98419147,87.05622853,17064,0.689376597,0.53568005,0.106615086,231
Maharashtra,Maharashtra_City_4,Dowry Death,2020,Night,Winter,12.60074698,71.48477479,9535,0.236802114,0.232583042,0.343629628,415
Goa,Goa_City_4,Harassment,2022,Evening,Summer,10.83719066,82.25686038,4552,0.518803788,0.692680078,0.257686524,271
Jharkhand,Jharkhand_City_4,Eve Teasing,2022,Afternoon,Winter,18.86376582,86.14993756,2589,0.600831907,0.631501959,0.27674587,103
Jharkhand,Jharkhand_City_2,Harassment,2023,Morning,Monsoon,10.04649367,86.63015907,16447,0.668620465,0.952184193,0.234434929,245
Karnataka,Karnataka_City_1,Harassment,2023,Night,Monsoon,26.65535833,81.28933382,2838,0.856511581,0.700751736,0.329966469,293
Jammu and Kashmir,Jammu and Kashmir_City_5,Stalking,2019,Morning,Winter,13.67794291,70.01147773,5826,0.501807267,0.231170506,0.251119015,344
Assam,Assam_City_5,Assault,2020,Night,Winter,10.06447081,77.25029328,16381,0.745290935,0.472499656,0.111670866,371
Delhi,Delhi_City_5,Domestic Violence,2023,Morning,Monsoon,26.23934256,93.44668839,7687,0.534356825,0.974064441,0.223709034,271
Assam,Assam_City_4,Human Trafficking,2023,Evening,Summer,36.72464912,79.96591263,5173,0.400013159,0.66443521,0.348175477,328
Gujarat,Gujarat_City_3,Domestic Violence,2021,Night,Winter,32.8939698,80.44082679,5744,0.791927008,0.390588922,0.157314266,208
Sikkim,Sikkim_City_3,Dowry Death,2021,Morning,Winter,31.96726652,77.28143843,798,0.27998791,0.242788237,0.383831184,227
Manipur,Manipur_City_5,Human Trafficking,2019,Morning,Monsoon,18.29225052,95.74722567,19266,0.960485718,0.65875031,0.256416513,130
Gujarat,Gujarat_City_5,Kidnapping,2020,Evening,Winter,25.47078685,84.05738852,7751,0.956955634,0.82503684,0.054251195,217
