state,city,crime_type,year,time_of_day,season,latitude,longitude,population_density,police_presence_index,street_lighting_index,repeat_offender_rate,crime_count,severity_weight,severity_score,time_severity,norm_crime_count,norm_severity_score,norm_population_density,norm_police_presence_index,norm_street_lighting_index,norm_repeat_offender_rate,norm_time_severity,police_risk,lighting_risk,risk_index,final_risk_index,risk_level,cluster,pca1,pca2
Rajasthan,Rajasthan_City_1,Harassment,2021,Afternoon,Winter,18.86166345,95.57071489,12064,0.677480126,0.556666202,0.048990217,174,2,348,3,0.2899543378995434,0.1096718480138169,0.6015185036202735,0.5979247005525297,0.4458196348177342,0.0982068861861165,0.2,0.4020752994474703,0.5541803651822659,0.2526022129997717,0.2464943746100462,Low Risk,1,-0.3411164745418941,0.19034569178579253
Chhattisgarh,Chhattisgarh_City_1,Eve Teasing,2019,Night,Winter,17.67754972,72.14313772,8422,0.216467595,0.975927882,0.33465263,350,2,700,7,0.6917808219178082,0.2616580310880829,0.4183930008045052,0.02061029900697,0.972100413217,0.8325476382957981,1.0,0.97938970099303,0.0278995867829998,0.6054456234650945,0.6949869366578256,High Risk,0,0.5429931198277435,-0.14094947955719345
Andhra Pradesh,Andhra Pradesh_City_1,Domestic Violence,2020,Morning,Monsoon,25.90696378,85.73794165,6496,0.545556015,0.432983312,0.248622629,316,4,1264,2,0.6141552511415524,0.5051813471502591,0.3215506838294448,0.4327194532543927,0.2905659335401196,0.6113938120892798,0.0,0.5672805467456072,0.7094340664598804,0.4675340204295637,0.5196901156120483,Medium Risk,2,-0.3695587359837124,-0.25463889889239033
Gujarat,Gujarat_City_5,Rape,2020,Night,Monsoon,36.23891005,74.75036887,19218,0.694708807,0.505969593,0.393460045,323,5,1615,7,0.6301369863013698,0.6567357512953368,0.9612329042638776,0.6194997445960382,0.3821824074738871,0.9837214693476491,1.0,0.3805002554039618,0.6178175925261129,0.7653155876242156,0.8981946137564393,High Risk,0,0.5653091836986707,-0.22697482738555774
Himachal Pradesh,Himachal Pradesh_City_1,Stalking,2022,Evening,Summer,27.72891862,81.06447831,10727,0.953761405,0.650630574,0.160312436,103,3,309,5,0.1278538812785388,0.0928324697754749,0.5342920353982301,0.9439047998312772,0.5637689852996532,0.3843783890046504,0.6,0.0560952001687227,0.4362310147003467,0.2808738603974775,0.2824299290192582,Low Risk,1,-0.018772944914569045,0.56474896936532
Chhattisgarh,Chhattisgarh_City_2,Cyber Crime,2019,Morning,Summer,14.69592094,74.98973851,15887,0.596141528,0.227510817,0.364634957,170,2,340,2,0.2808219178082192,0.1062176165803108,0.793744971842317,0.4960664193360374,0.0326453322387098,0.9096219874478456,0.0,0.5039335806639627,0.96735466776129,0.3861420913198036,0.4162343793456198,Medium Risk,2,-0.5132874316057813,-0.31646228478434063
Bihar,Bihar_City_3,Cyber Crime,2023,Evening,Winter,27.21314625,77.03962121,11753,0.36635333,0.654160262,0.022212184,327,2,654,5,0.639269406392694,0.2417962003454231,0.5858809332260659,0.2083084364394671,0.5681996476681923,0.0293696853562058,0.6,0.7916915635605328,0.4318003523318077,0.4344345436051838,0.4776179988511595,Medium Risk,0,0.15234702218456386,-0.09371054684885594
Telangana,Telangana_City_4,Eve Teasing,2019,Night,Winter,21.04286987,79.45935684,1095,0.678319983,0.937499388,0.044512076,350,2,700,7,0.6917808219178082,0.2616580310880829,0.0499798873692678,0.5989764323574918,0.92386281197705,0.0866951111665825,1.0,0.4010235676425082,0.07613718802295,0.4302200064466598,0.4722609806611945,Medium Risk,0,0.5320251386620515,0.5203475670117819
Nagaland,Nagaland_City_3,Human Trafficking,2021,Afternoon,Monsoon,32.49148161,89.67228319,17362,0.862990007,0.485402661,0.119564459,152,5,760,3,0.2397260273972602,0.2875647668393782,0.8679102976669348,0.830234060339331,0.3563656407656948,0.2796292210518893,0.2,0.169765939660669,0.6436343592343052,0.3312281264283852,0.3464342808433565,Medium Risk,1,-0.3464759594012363,0.17453994819779167
Assam,Assam_City_1,Domestic Violence,2021,Morning,Winter,31.26371244,70.16196867,8106,0.538721185,0.515905215,0.124460388,166,4,664,2,0.271689497716895,0.2461139896373056,0.4025040225261464,0.4241603674903756,0.3946541575275549,0.292214986698753,0.0,0.5758396325096244,0.6053458424724452,0.2725927958450813,0.2719040250419406,Low Risk,1,-0.4914365191208345,0.0005204023626317056
