state,city,crime_type,year,time_of_day,season,latitude,longitude,population_density,police_presence_index,street_lighting_index,repeat_offender_rate,crime_count,severity_weight,severity_score,time_severity,norm_crime_count,norm_severity_score,norm_population_density,norm_police_presence_index,norm_street_lighting_index,norm_repeat_offender_rate,norm_time_severity,police_risk,lighting_risk,risk_index,final_risk_index,risk_level
Rajasthan,Rajasthan_City_1,Harassment,2021,Afternoon,Winter,18.86166345,95.57071489,12064,0.677480126,0.556666202,0.048990217,174,2,348,3,0.2899543378995434,0.10967184801381694,0.6015185036202735,0.5979247005525297,0.4458196348177342,0.09820688618611652,0.20000000000000007,0.40207529944747034,0.5541803651822659,0.2526022129997717,0.2464943746100462,Low Risk
Chhattisgarh,Chhattisgarh_City_1,Eve Teasing,2019,Night,Winter,17.67754972,72.14313772,8422,0.216467595,0.975927882,0.33465263,350,2,700,7,0.6917808219178082,0.2616580310880829,0.4183930008045052,0.02061029900697009,0.9721004132170001,0.8325476382957981,1.0,0.9793897009930299,0.027899586782999863,0.6054456234650945,0.6949869366578256,High Risk
Andhra Pradesh,Andhra Pradesh_City_1,Domestic Violence,2020,Morning,Monsoon,25.90696378,85.73794165,6496,0.545556015,0.432983312,0.248622629,316,4,1264,2,0.6141552511415524,0.5051813471502591,0.32155068382944485,0.4327194532543927,0.29056593354011967,0.6113938120892798,0.0,0.5672805467456072,0.7094340664598804,0.46753402042956377,0.5196901156120483,Medium Risk
Gujarat,Gujarat_City_5,Rape,2020,Night,Monsoon,36.23891005,74.75036887,19218,0.694708807,0.505969593,0.393460045,323,5,1615,7,0.6301369863013698,0.6567357512953368,0.9612329042638776,0.6194997445960382,0.38218240747388715,0.9837214693476493,1.0,0.3805002554039618,0.6178175925261129,0.7653155876242156,0.8981946137564393,High Risk
Himachal Pradesh,Himachal Pradesh_City_1,Stalking,2022,Evening,Summer,27.72891862,81.06447831,10727,0.953761405,0.650630574,0.160312436,103,3,309,5,0.1278538812785388,0.09283246977547496,0.5342920353982301,0.9439047998312773,0.5637689852996532,0.38437838900465043,0.6,0.056095200168722714,0.43623101470034675,0.2808738603974775,0.2824299290192582,Low Risk
Chhattisgarh,Chhattisgarh_City_2,Cyber Crime,2019,Morning,Summer,14.69592094,74.98973851,15887,0.596141528,0.227510817,0.364634957,170,2,340,2,0.2808219178082192,0.10621761658031087,0.793744971842317,0.4960664193360374,0.03264533223870986,0.9096219874478456,0.0,0.5039335806639627,0.9673546677612901,0.38614209131980365,0.41623437934561985,Medium Risk
Bihar,Bihar_City_3,Cyber Crime,2023,Evening,Winter,27.21314625,77.03962121,11753,0.36635333,0.654160262,0.022212184,327,2,654,5,0.639269406392694,0.24179620034542315,0.5858809332260659,0.20830843643946712,0.5681996476681923,0.029369685356205863,0.6,0.7916915635605328,0.4318003523318077,0.43443454360518385,0.4776179988511595,Medium Risk
Telangana,Telangana_City_4,Eve Teasing,2019,Night,Winter,21.04286987,79.45935684,1095,0.678319983,0.937499388,0.044512076,350,2,700,7,0.6917808219178082,0.2616580310880829,0.049979887369267895,0.5989764323574918,0.92386281197705,0.0866951111665825,1.0,0.40102356764250824,0.07613718802295,0.4302200064466598,0.4722609806611945,Medium Risk
Nagaland,Nagaland_City_3,Human Trafficking,2021,Afternoon,Monsoon,32.49148161,89.67228319,17362,0.862990007,0.485402661,0.119564459,152,5,760,3,0.23972602739726026,0.2875647668393782,0.8679102976669348,0.830234060339331,0.3563656407656948,0.2796292210518893,0.20000000000000007,0.169765939660669,0.6436343592343052,0.33122812642838523,0.34643428084335653,Medium Risk
Assam,Assam_City_1,Domestic Violence,2021,Morning,Winter,31.26371244,70.16196867,8106,0.538721185,0.515905215,0.124460388,166,4,664,2,0.271689497716895,0.24611398963730569,0.4025040225261464,0.4241603674903756,0.3946541575275549,0.29221498669875307,0.0,0.5758396325096244,0.6053458424724452,0.2725927958450813,0.2719040250419406,Low Risk
